,Provinsi,Tahun,IPM,Inflasi,Kemiskinan,PDRBK_ADHB,PDRBK_ADHK,PDRB_ADHB,PDRB_ADHK,Pengangguran,Upah Minimum,Actual_Poverty,Predicted_Poverty,Difference,Original_Index
360,Sumatera Barat,2018,71.73,3.13,6.55,42802.66,30470.8,230367.22,163996.19,5.66,2119067.0,6.55,6.71477491325436,-0.16477491325436056,360
297,Sulawesi Barat,2010,69.64,6.96,13.58,14755.47,14755.47,17183.83,17183.83,3.25,944200.0,13.579999999999997,17.594275849825806,-4.014275849825809,297
5,Aceh,2015,69.45,3.35,17.11,25808.45,22524.31,129092.66,112665.53,9.93,1900000.0,17.11,14.166673177970303,2.9433268220296966,5
328,Sulawesi Tengah,2019,69.5,2.72,13.48,61056.03,42054.5,185740.09,127935.06,3.11,2123040.0,13.48,9.878775632417344,3.601224367582656,328
45,DI Yogyakarta,2011,76.32,3.79,16.08,20333.34,19387.45,71369.96,68049.87,4.39,808000.0,16.08,15.179348013275636,0.9006519867243625,45
334,Sulawesi Tenggara,2014,68.07,8.36,12.77,32115.83,27896.05,78622.15,68291.78,4.43,1400000.0,12.770000000000001,8.245456443895169,4.524543556104833,334
73,Gorontalo,2017,67.01,3.61,17.14,29565.12,21477.78,34537.68,25090.13,4.28,2030000.0,17.139999999999997,10.609833510814168,6.530166489185829,73
115,Jawa Tengah,2015,69.49,3.35,13.32,29933.75,23887.06,1010986.64,806765.09,4.99,910000.0,13.319999999999999,11.419259704499112,1.9007402955008867,115
232,Maluku Utara,2011,69.47,3.79,9.18,16002.57,14994.63,17078.14,16002.45,5.34,889350.0,9.179999999999998,15.5200171922774,-6.3400171922774025,232
184,Kalimantan Utara,2018,70.56,3.13,6.86,119413.88,80204.84,85548.94,57459.31,5.11,2559903.0,6.86,6.760645533719396,0.09935446628060429,184
355,Sumatera Barat,2013,68.91,8.38,7.56,28994.48,24857.64,146899.83,125940.63,7.02,1350000.0,7.56,9.219746418688306,-1.6597464186883064,355
245,Nusa Tenggara Barat,2013,63.76,8.38,17.25,15627.57,14809.84,73618.88,69766.71,5.3,1100000.0,17.250000000000004,18.850189246149924,-1.6001892461499203,245
191,Kepulauan Bangka Belitung,2014,68.27,8.36,4.97,41948.37,32859.64,56373.62,44159.44,5.14,1640000.0,4.97,7.169232898503069,-2.1992328985030696,191
3,Aceh,2013,68.3,8.38,17.72,25218.83,23228.59,121331.13,111755.83,10.12,1550000.0,17.719999999999995,14.260396016703764,3.4596039832962315,3
254,Nusa Tenggara Timur,2011,67.75,3.79,21.23,10194.01,9675.89,48815.24,46334.13,3.11,850000.0,21.230000000000004,19.89968216084892,1.3303178391510855,254
85,Indonesia,2018,71.39,3.13,9.66,55992.07,39340.56,14838756.0,10425851.9,5.3,2268874.0,9.66,9.466385880282612,0.19361411971738818,85
233,Maluku Utara,2012,63.93,4.3,8.47,17726.06,15691.01,19340.46,17120.07,4.82,960498.0,8.469999999999999,17.376463809270092,-8.906463809270093,233
166,Kalimantan Timur,2011,76.22,3.79,6.77,140229.63,121196.23,515191.48,445264.42,11.43,1084000.0,6.7700000000000005,6.547150171429965,0.22284982857003577,166
64,DKI Jakarta,2019,80.76,2.72,3.47,268052.25,174812.51,2815636.16,1836240.55,6.54,3940973.0,3.47,3.9031145838780406,-0.43311458387804036,64
274,Papua,2020,60.44,1.68,26.64,46416.36,32108.51,199186.57,137787.29,4.28,3516700.0,26.639999999999997,17.30919868905908,9.330801310940917,274
189,Kepulauan Bangka Belitung,2012,67.21,4.3,5.53,35288.32,31172.42,45400.23,40104.91,3.43,1110000.0,5.529999999999999,10.354707643293862,-4.824707643293863,189
340,Sulawesi Tenggara,2020,71.45,1.68,11.0,49718.15,35708.6,130107.27,93445.72,4.58,2552015.0,11.000000000000002,5.601524289098674,5.3984757109013275,340
111,Jawa Tengah,2011,72.94,3.79,15.76,21162.83,20053.8,692561.63,656268.13,7.07,675000.0,15.759999999999996,12.842606690127168,2.9173933098728284,111
276,Papua Barat,2011,69.65,3.79,31.92,56305.11,54539.86,44254.64,42867.19,6.73,1410000.0,31.92,8.760081532547007,23.159918467452997,276
