,Provinsi,Tahun,IPM,Inflasi,Kemiskinan,PDRBK_ADHB,PDRBK_ADHK,PDRB_ADHB,PDRB_ADHK,Pengangguran,Upah Minimum
82,Indonesia,2015,69.55,3.35,11.13,45119.61,35161.89,11526332.8,8982517.1,6.18,1790342.0
83,Indonesia,2016,70.18,3.02,10.7,47937.72,36468.62,12401728.5,9434613.4,5.61,1997819.0
84,Indonesia,2017,70.81,3.61,10.12,51891.18,37851.37,13589825.7,9912928.1,5.5,2142855.0
85,Indonesia,2018,71.39,3.13,9.66,55992.07,39340.56,14838756.0,10425851.9,5.3,2268874.0
86,Indonesia,2019,71.92,2.72,9.41,59317.91,41021.61,15832657.2,10949155.4,5.23,2455662.0
87,Indonesia,2020,71.94,1.68,9.78,57289.59,39778.68,15443353.2,10722999.3,7.07,2672371.0
88,Jambi,2010,72.74,6.96,8.34,29160.16,29160.16,90618.41,90618.41,5.39,900000.0
89,Jambi,2011,73.3,3.79,8.65,32682.04,30856.66,103522.91,97740.87,4.63,1028000.0
90,Jambi,2012,66.94,4.3,8.42,35657.57,32417.72,115070.4,104615.08,3.2,1142500.0
91,Jambi,2013,67.76,8.38,8.42,39553.64,34012.1,129976.04,111766.13,4.76,1300000.0
92,Jambi,2014,68.24,8.36,8.39,43300.3,35878.09,144814.42,119991.44,5.08,1502300.0
93,Jambi,2015,68.89,3.35,9.12,45580.04,36753.52,155065.66,125037.4,4.34,1710000.0
94,Jambi,2016,69.62,3.02,8.37,49494.98,37728.8,171199.47,130501.13,4.0,1906650.0
95,Jambi,2017,69.99,3.61,7.9,53993.4,38833.87,189787.72,136501.71,3.87,2063949.0
96,Jambi,2018,70.65,3.13,7.85,58224.89,40025.52,207878.69,142902.0,3.73,2243719.0
97,Jambi,2019,71.26,2.72,7.6,60828.86,41812.35,216927.71,149111.09,4.06,2423889.0
98,Jambi,2020,71.29,1.68,7.58,57957.73,41926.04,205081.99,148354.25,5.13,2630162.0
99,Jawa Barat,2010,72.29,6.96,11.27,20974.94,20974.94,906685.76,906685.76,10.33,671500.0
100,Jawa Barat,2011,72.73,3.79,10.65,23251.17,21976.53,1021628.6,965622.06,9.96,732000.0
101,Jawa Barat,2012,67.32,4.3,10.09,25272.29,23036.0,1128245.68,1028409.74,9.08,780000.0
102,Jawa Barat,2013,68.25,8.38,9.61,27767.25,24118.31,1258989.33,1093543.55,9.16,850000.0
103,Jawa Barat,2014,68.8,8.36,9.18,30107.21,24966.86,1385825.08,1149216.06,8.45,1000000.0
104,Jawa Barat,2015,69.5,3.35,9.57,32648.02,25845.5,1524974.83,1207232.34,8.72,1000000.0
105,Jawa Barat,2016,70.05,3.02,8.77,34893.62,26923.51,1653238.4,1275619.24,8.89,2250000.0
106,Jawa Barat,2017,70.69,3.61,7.83,37223.11,27970.92,1788117.36,1343662.14,8.22,1420624.0
107,Jawa Barat,2018,71.3,3.13,7.25,40272.64,29160.06,1960627.65,1419624.14,8.23,1544361.0
108,Jawa Barat,2019,72.03,2.72,6.91,43309.19,30413.37,2123153.71,1490959.69,8.04,1668373.0
109,Jawa Barat,2020,72.09,1.68,7.88,43236.51,30180.54,2082107.26,1453380.72,10.46,1810351.0
110,Jawa Tengah,2010,72.49,6.96,16.56,19209.31,19209.31,623224.62,623224.62,6.21,660000.0
111,Jawa Tengah,2011,72.94,3.79,15.76,21162.83,20053.8,692561.63,656268.13,7.07,675000.0
112,Jawa Tengah,2012,67.21,4.3,15.34,22865.43,20950.62,754529.44,691343.12,5.61,765000.0
113,Jawa Tengah,2013,68.02,8.38,14.44,24952.13,21844.87,830016.02,726655.12,6.01,830000.0
114,Jawa Tengah,2014,68.78,8.36,13.58,27517.84,22819.16,922471.18,764959.15,5.68,910000.0
115,Jawa Tengah,2015,69.49,3.35,13.32,29933.75,23887.06,1010986.64,806765.09,4.99,910000.0
116,Jawa Tengah,2016,69.98,3.02,13.19,31961.95,24959.49,1087316.7,849099.35,4.63,
117,Jawa Tengah,2017,70.52,3.61,12.23,34234.31,26088.91,1172794.52,893750.3,4.57,1367000.0
118,Jawa Tengah,2018,71.12,3.13,11.19,36770.96,27285.25,1268261.17,941091.14,4.47,1486065.0
119,Jawa Tengah,2019,71.73,2.72,10.8,39388.15,28695.92,1360960.13,991516.54,4.44,1605396.0
120,Jawa Tengah,2020,71.87,1.68,11.41,36964.78,26483.68,1347222.49,965227.27,6.48,1742015.0
121,Jawa Timur,2010,71.62,6.96,15.26,26371.1,26371.1,990648.84,990648.84,4.25,630000.0
122,Jawa Timur,2011,72.18,3.79,14.23,29613.05,27864.26,1120577.16,1054401.77,5.38,705000.0
123,Jawa Timur,2012,66.74,4.3,13.4,32770.38,29508.4,1248767.29,1124464.64,4.11,745000.0
124,Jawa Timur,2013,67.55,8.38,12.73,36037.18,31092.04,1382501.5,1192789.8,4.3,866250.0
125,Jawa Timur,2014,68.14,8.36,12.28,39832.68,32703.39,1537947.63,1262684.5,4.19,1000000.0
126,Jawa Timur,2015,68.95,3.35,12.28,43541.4,34271.81,1691477.06,1331376.1,4.47,1000000.0
127,Jawa Timur,2016,69.74,3.02,11.85,47491.52,35970.78,1855738.4,1405563.51,4.21,
128,Jawa Timur,2017,70.27,3.61,11.2,51228.45,37724.29,2012917.99,1482299.58,4.0,1388000.0
129,Jawa Timur,2018,70.77,3.13,10.85,55410.61,39579.95,2188766.35,1563441.82,3.91,1508895.0
130,Jawa Timur,2019,71.5,2.72,10.37,59015.17,41512.2,2345548.55,1649895.64,3.82,1630059.0
131,Jawa Timur,2020,71.71,1.68,11.09,56640.82,39686.19,2299807.64,1611392.55,5.84,1768777.0
132,Kalimantan Barat,2010,69.15,6.96,9.02,19510.07,19510.07,86065.85,86065.85,4.62,741000.0
133,Kalimantan Barat,2011,69.66,3.79,8.6,21548.09,20227.16,96727.13,90797.59,4.6,802500.0
134,Kalimantan Barat,2012,63.41,4.3,8.17,23427.05,21062.22,106958.8,96161.93,3.54,900000.0
135,Kalimantan Barat,2013,64.3,8.38,8.74,25561.5,21971.93,118640.96,101980.34,3.99,1060000.0
136,Kalimantan Barat,2014,64.89,8.36,8.07,28062.48,22712.65,132345.29,107114.96,4.04,1380000.0
137,Kalimantan Barat,2015,65.59,3.35,8.44,30619.33,23456.52,146653.55,112346.76,5.15,1560000.0
138,Kalimantan Barat,2016,65.88,3.02,8.0,33190.65,24308.85,161364.24,118183.27,4.23,1739400.0
139,Kalimantan Barat,2017,66.26,3.61,7.86,35984.53,25198.01,177493.65,124289.17,4.36,1882900.0
140,Kalimantan Barat,2018,66.98,3.13,7.37,38814.73,26110.57,194138.22,130596.32,4.18,2046900.0
141,Kalimantan Barat,2019,67.65,2.72,7.49,42045.41,27199.78,212150.33,137243.09,4.35,2211500.0
142,Kalimantan Barat,2020,67.66,1.68,7.17,39622.24,24953.61,213950.35,134743.38,5.81,2399699.0
143,Kalimantan Selatan,2010,69.92,6.96,5.21,23418.47,23418.47,85305.0,85305.0,5.25,1024500.0
144,Kalimantan Selatan,2011,70.44,3.79,5.29,26594.38,24567.52,98780.55,91252.13,6.29,1126000.0
145,Kalimantan Selatan,2012,66.68,4.3,5.06,28197.08,25547.77,106725.43,96697.84,5.19,1225000.0
146,Kalimantan Selatan,2013,67.17,8.38,4.76,30058.02,26423.9,115858.2,101850.54,3.66,1337500.0
147,Kalimantan Selatan,2014,67.63,8.36,4.81,32599.83,27220.27,127882.28,106779.4,3.8,1620000.0
148,Kalimantan Selatan,2015,68.38,3.35,4.72,34351.69,27786.68,137056.12,110863.12,4.92,1870000.0
149,Kalimantan Selatan,2016,69.05,3.02,4.52,36022.98,28540.05,146090.43,115743.57,5.45,2085050.0
150,Kalimantan Selatan,2017,69.65,3.61,4.7,38619.54,29578.79,159104.55,121858.52,4.77,2258000.0
151,Kalimantan Selatan,2018,70.17,3.13,4.65,41046.28,30614.85,171684.06,128052.58,4.35,2454671.0
152,Kalimantan Selatan,2019,70.72,2.72,4.55,42823.56,31611.46,180557.64,133283.85,4.18,2651782.0
153,Kalimantan Selatan,2020,70.91,1.68,4.38,44100.79,32212.3,179162.02,130864.32,4.74,2877449.0
154,Kalimantan Tengah,2010,74.64,6.96,6.77,25455.05,25455.05,56531.02,56531.02,4.14,986590.0
155,Kalimantan Tengah,2011,75.06,3.79,6.56,28952.94,26588.9,65871.41,60492.93,3.54,1134580.0
156,Kalimantan Tengah,2012,66.66,4.3,6.51,31515.97,27749.01,73425.38,64649.17,3.14,1327459.0
157,Kalimantan Tengah,2013,67.41,8.38,6.23,34367.34,29106.4,81956.92,69410.99,3.0,1553127.0
158,Kalimantan Tengah,2014,67.77,8.36,6.07,36842.26,30216.73,89889.88,73724.52,3.24,1723970.0
159,Kalimantan Tengah,2015,68.53,3.35,5.91,40105.06,31619.18,100063.52,78890.97,4.54,1896367.0
160,Kalimantan Tengah,2016,69.13,3.02,5.36,43905.33,32899.58,111967.02,83900.24,4.82,2057558.0
161,Kalimantan Tengah,2017,69.79,3.61,5.26,48293.22,34370.63,125817.07,89544.9,4.23,2227307.0
162,Kalimantan Tengah,2018,70.42,3.13,5.1,52107.23,35548.43,138616.13,94566.25,3.91,2421305.0
163,Kalimantan Tengah,2019,70.91,2.72,4.98,56625.38,37870.47,150046.1,100349.29,4.04,2663435.0
164,Kalimantan Tengah,2020,71.05,1.68,4.82,57145.08,37148.73,152187.39,98933.61,4.58,2903145.0
165,Kalimantan Timur,2010,75.56,6.96,7.66,116946.31,116946.31,418211.58,418211.58,10.1,1002000.0
166,Kalimantan Timur,2011,76.22,3.79,6.77,140229.63,121196.23,515191.48,445264.42,11.43,1084000.0
167,Kalimantan Timur,2012,72.62,4.3,6.68,145998.48,124501.88,550735.76,469646.25,9.02,1177000.0
168,Kalimantan Timur,2013,73.21,8.38,6.38,158472.71,133868.68,519131.87,438532.91,7.95,1752073.0
169,Kalimantan Timur,2014,73.82,8.36,6.31,157399.96,133086.11,527515.26,446029.05,7.38,1886315.0
170,Kalimantan Timur,2015,74.17,3.35,6.1,147405.43,128603.13,505105.06,440676.36,7.5,2026126.0
171,Kalimantan Timur,2016,74.59,3.02,6.0,145343.19,125385.5,508880.24,439003.83,7.95,2161253.0
172,Kalimantan Timur,2017,75.12,3.61,6.08,165546.62,126625.19,591903.49,452741.91,6.91,2339556.0
173,Kalimantan Timur,2018,75.83,3.13,6.06,174164.82,127354.19,635498.68,464694.43,6.41,2543332.0
174,Kalimantan Timur,2019,76.61,2.72,5.94,180259.1,134410.55,652480.26,486523.18,5.94,2747561.0
175,Kalimantan Timur,2020,76.24,1.68,6.1,161798.85,125764.53,607744.49,472393.33,6.87,2981379.0
176,Kalimantan Utara,2010,,6.96,,,,,,,
177,Kalimantan Utara,2011,,3.79,,,,,,,
178,Kalimantan Utara,2012,,4.3,,,,,,,
179,Kalimantan Utara,2013,67.99,8.38,,88415.13,74106.93,52604.7,44091.7,,
180,Kalimantan Utara,2014,68.64,8.36,,95734.77,77152.6,59184.0,47696.35,,
181,Kalimantan Utara,2015,68.76,3.35,6.32,96150.38,76823.46,61722.39,49315.75,5.68,2026126.0
182,Kalimantan Utara,2016,69.2,3.02,6.99,99112.33,76635.46,66041.81,51064.74,5.23,2175340.0
183,Kalimantan Utara,2017,69.84,3.61,6.96,111318.54,78918.57,76927.57,54537.31,5.54,2354800.0
184,Kalimantan Utara,2018,70.56,3.13,6.86,119413.88,80204.84,85548.94,57459.31,5.11,2559903.0
185,Kalimantan Utara,2019,71.15,2.72,6.63,138751.01,88299.52,96509.93,61417.79,4.49,2765463.0
186,Kalimantan Utara,2020,70.63,1.68,6.8,143533.29,86823.59,100423.21,60746.21,4.97,3000804.0
187,Kepulauan Bangka Belitung,2010,72.86,6.96,6.51,28906.78,28906.78,35561.9,35561.9,5.63,910000.0
188,Kepulauan Bangka Belitung,2011,73.37,3.79,5.75,32465.38,30212.18,40849.04,38013.99,3.86,1024000.0
189,Kepulauan Bangka Belitung,2012,67.21,4.3,5.53,35288.32,31172.42,45400.23,40104.91,3.43,1110000.0
190,Kepulauan Bangka Belitung,2013,67.92,8.38,5.25,38314.56,32081.3,50388.36,42190.86,3.65,1265000.0
191,Kepulauan Bangka Belitung,2014,68.27,8.36,4.97,41948.37,32859.64,56373.62,44159.44,5.14,1640000.0
192,Kepulauan Bangka Belitung,2015,69.05,3.35,4.83,44425.08,33480.38,60987.32,45962.3,6.29,2100000.0
193,Kepulauan Bangka Belitung,2016,69.55,3.02,5.04,46402.47,34132.87,65048.23,47848.37,2.6,2341500.0
194,Kepulauan Bangka Belitung,2017,69.99,3.61,5.3,48827.25,34933.52,69865.21,49985.15,3.78,2534674.0
195,Kepulauan Bangka Belitung,2018,70.67,3.13,4.77,50081.95,35762.04,73113.28,52208.04,3.61,2755444.0
196,Kepulauan Bangka Belitung,2019,71.3,2.72,4.62,52232.8,37173.14,75794.96,53941.9,3.58,2976706.0
197,Kepulauan Bangka Belitung,2020,71.47,1.68,4.53,52023.4,36307.61,75519.77,52705.94,5.25,3230024.0
198,Kepulauan Riau,2010,75.07,6.96,8.05,65703.34,65703.34,111223.67,111223.67,6.9,925000.0
199,Kepulauan Riau,2011,75.78,3.79,7.4,72571.75,68024.21,126914.2,118961.42,5.38,975000.0
200,Kepulauan Riau,2012,72.36,4.3,7.11,80240.25,70930.0,144840.79,128034.97,5.08,1015000.0
201,Kepulauan Riau,2013,73.02,8.38,6.35,87710.29,73743.33,163261.57,137263.85,5.63,1365087.0
202,Kepulauan Riau,2014,73.4,8.36,6.4,94335.33,76313.81,180879.98,146325.23,6.69,1665000.0
203,Kepulauan Riau,2015,73.75,3.35,5.78,101148.53,78625.43,199570.39,155131.35,6.2,1954000.0
204,Kepulauan Riau,2016,73.99,3.02,5.84,106503.78,80295.6,216007.66,162853.04,7.69,2178710.0
205,Kepulauan Riau,2017,74.45,3.61,6.13,109332.85,79743.68,227706.88,166081.68,7.16,2358454.0
206,Kepulauan Riau,2018,74.84,3.13,5.83,116461.4,81206.2,248822.23,173498.75,8.04,2563875.0
207,Kepulauan Riau,2019,75.48,2.72,5.9,119394.66,81138.52,267631.48,181877.67,7.5,2769754.0
208,Kepulauan Riau,2020,75.59,1.68,5.92,123464.79,85012.58,254095.35,174959.21,10.34,3005460.0
209,Lampung,2010,71.42,6.96,18.94,19722.39,19722.39,150560.84,150560.84,5.57,767500.0
210,Lampung,2011,71.94,3.79,16.93,21981.47,20739.31,170046.79,160437.5,6.38,855000.0
211,Lampung,2012,64.87,4.3,16.18,23910.84,21794.83,187348.82,170769.21,5.2,975000.0
212,Lampung,2013,65.73,8.38,14.39,25768.94,22770.68,204402.64,180620.01,5.69,1150000.0
213,Lampung,2014,66.42,8.36,14.21,28755.17,23647.27,230794.45,189797.49,4.79,1399037.0
214,Lampung,2015,66.95,3.35,13.53,31153.72,24581.78,252883.1,199536.92,5.14,1581000.0
215,Lampung,2016,67.65,3.02,13.86,34053.97,25568.57,279417.62,209793.73,4.62,1763000.0
216,Lampung,2017,68.25,3.61,13.04,36998.32,26614.88,306700.43,220626.1,4.33,1908448.0
217,Lampung,2018,69.02,3.13,13.01,39716.46,27736.26,332446.07,232165.99,4.04,2074673.0
218,Lampung,2019,69.57,2.72,12.62,42172.32,28894.5,356676.83,244378.31,4.03,2241270.0
219,Lampung,2020,69.69,1.68,12.34,39290.33,26746.64,353025.09,240319.59,4.67,2432002.0
220,Maluku,2010,71.42,6.96,27.74,11951.84,11951.84,18428.58,18428.58,9.97,840000.0
221,Maluku,2011,71.87,3.79,23.0,13604.41,12477.19,21367.86,19597.39,10.81,900000.0
222,Maluku,2012,65.43,4.3,21.78,15418.36,13129.11,24661.75,21000.08,7.71,975000.0
223,Maluku,2013,66.09,8.38,19.27,17092.99,13572.07,27834.44,22100.94,9.91,1275000.0
224,Maluku,2014,66.74,8.36,18.44,19099.98,14219.62,31656.48,23567.73,10.51,1415000.0
225,Maluku,2015,67.05,3.35,19.36,20365.6,14740.38,34345.96,24859.2,9.93,1650000.0
226,Maluku,2016,67.6,3.02,19.26,21599.17,15321.18,37054.41,26284.23,7.05,1775000.0
227,Maluku,2017,68.19,3.61,18.29,22859.29,15942.45,39881.55,27814.05,9.29,1925000.0
228,Maluku,2018,68.87,3.13,17.85,24268.62,16607.02,43047.09,29457.13,6.95,2222220.0
229,Maluku,2019,69.45,2.72,17.69,26097.04,17556.86,46152.82,31049.45,6.69,2400664.0
230,Maluku,2020,69.49,1.68,17.44,25094.36,16688.12,46263.47,30765.89,7.57,2604961.0
231,Maluku Utara,2010,69.03,6.96,9.42,14361.54,14361.54,14983.91,14983.91,6.03,847000.0
232,Maluku Utara,2011,69.47,3.79,9.18,16002.57,14994.63,17078.14,16002.45,5.34,889350.0
233,Maluku Utara,2012,63.93,4.3,8.47,17726.06,15691.01,19340.46,17120.07,4.82,960498.0
234,Maluku Utara,2013,64.78,8.38,7.64,19230.01,16332.22,21439.49,18208.74,3.8,1200622.0
235,Maluku Utara,2014,65.18,8.36,7.41,21114.23,16869.52,24042.08,19208.76,5.29,1440746.0
236,Maluku Utara,2015,65.91,3.35,6.22,22917.73,17533.78,26638.3,20380.3,6.05,1577617.0
237,Maluku Utara,2016,66.63,3.02,6.41,24580.75,18177.3,29150.6,21556.68,4.01,1681266.0
238,Maluku Utara,2017,67.2,3.61,6.44,26686.06,19192.97,32272.57,23210.86,5.33,1975152.0
239,Maluku Utara,2018,67.76,3.13,6.62,29586.12,20309.45,36468.79,25034.08,4.63,2320803.0
240,Maluku Utara,2019,68.7,2.72,6.77,32124.96,21524.99,39695.49,26597.55,4.81,2508091.0
241,Maluku Utara,2020,68.49,1.68,6.78,33069.32,21915.03,42298.87,28031.44,5.15,2721530.0
242,Nusa Tenggara Barat,2010,65.2,6.96,21.55,15527.41,15527.41,70122.73,70122.73,5.29,890775.0
243,Nusa Tenggara Barat,2011,66.23,3.79,19.73,14879.83,14705.77,68176.69,67379.14,5.25,950000.0
244,Nusa Tenggara Barat,2012,62.98,4.3,18.63,14853.74,14276.69,69022.23,66340.81,5.23,1000000.0
245,Nusa Tenggara Barat,2013,63.76,8.38,17.25,15627.57,14809.84,73618.88,69766.71,5.3,1100000.0
246,Nusa Tenggara Barat,2014,64.31,8.36,17.05,17097.66,15369.94,81620.73,73372.96,5.75,1210000.0
247,Nusa Tenggara Barat,2015,65.19,3.35,16.54,21851.53,18475.14,105664.74,89337.99,5.69,1330000.0
248,Nusa Tenggara Barat,2016,65.81,3.02,16.02,23786.95,19305.79,116464.76,94524.29,3.94,1482950.0
249,Nusa Tenggara Barat,2017,66.58,3.61,15.05,24986.54,19091.26,123822.76,94608.21,3.32,1631245.0
