,Provinsi,Tahun,IPM,Inflasi,Kemiskinan,Upah Minimum,PDRB_ADHB,PDRB_ADHK,PDRBK_ADHB,PDRBK_ADHK,PDRB_ADHK_YoY,PDRB_ADHB_YoY,PDRBK_ADHK_YoY,PDRBK_ADHB_YoY
0,DI Yogyakarta,2026,82.605,1.217,10.212,3017507.051,218428.598,133664.155,57521.541,35231.002,,,,
1,DI Yogyakarta,2027,83.052,1.153,9.902,3318834.444,235768.683,139893.761,61719.763,36659.82,4.6606406930863375,7.938559858357008,4.055570148132603,7.298521435647909
2,DI Yogyakarta,2028,83.502,1.093,9.603,3650252.305,254485.322,146413.706,66224.393,38146.586,4.660640298318963,7.938560270958472,4.055573649843347,7.298521220828413
3,DI Yogyakarta,2029,83.954,1.036,9.312,4014765.46,274687.792,153237.522,71057.795,39693.648,4.660640172580566,7.938560008580775,4.055571316395135,7.298522162369991
4,DI Yogyakarta,2030,84.409,0.982,9.03,4415678.794,296494.047,160379.372,76243.963,41303.453,4.660640492476764,7.9385599342543856,4.055573324981365,7.298520873044256
