Provinsi,Tahun,IPM,Inflasi,Kemiskinan,Upah Minimum,PDRB_ADHB,PDRB_ADHK,PDRBK_ADHB,PDRBK_ADHK
Sumatera Barat,2026,,,,,,,,
Sumatera Barat,2027,,,,,,,,
Sumatera Barat,2028,,,,,,,,
Sumatera Barat,2029,,,,,,,,
Sumatera Barat,2030,,,,,,,,
Sumatera Selatan,2026,,,,,,,,
Sumatera Selatan,2027,,,,,,,,
Sumatera Selatan,2028,,,,,,,,
Sumatera Selatan,2029,,,,,,,,
Sumatera Selatan,2030,,,,,,,,
Sumatera Utara,2026,,,,,,,,
Sumatera Utara,2027,,,,,,,,
Sumatera Utara,2028,,,,,,,,
Sumatera Utara,2029,,,,,,,,
Sumatera Utara,2030,,,,,,,,
