,Provinsi,Tahun,IPM,Inflasi,Kemiskinan,PDRBK_ADHB,PDRBK_ADHK,PDRB_ADHB,PDRB_ADHK,Pengangguran,Upah Minimum,PDRB_ADHK_YoY,PDRB_ADHB_YoY,PDRBK_ADHK_YoY,PDRBK_ADHB_YoY,PDRB_ADHK_Pct,PDRB_ADHB_Pct,PDRBK_ADHK_Pct,PDRBK_ADHB_Pct
0,Aceh,2010,71.7,6.96,20.98,22450.14,22450.14,101545.24,101545.24,8.37,1300000.0,,,,,29.57866858160953,63.840589672150074,11.439305055558671,40.90504558100752
1,Aceh,2011,72.16,3.79,19.57,23428.63,22704.8,108217.63,104874.21,9.0,1350000.0,3.278312208430445,6.570854527499259,1.1343359106001039,4.3585028868416975,29.57866858160953,63.840589672150074,11.439305055558671,40.90504558100752
2,Aceh,2012,67.81,4.3,19.46,24294.69,23099.13,114552.08,108914.9,9.06,1400000.0,3.8528919550383067,5.8534362654218075,1.7367693175011523,3.69658831950479,29.57866858160953,63.840589672150074,11.439305055558671,40.90504558100752
3,Aceh,2013,68.3,8.38,17.72,25218.83,23228.59,121331.13,111755.83,10.12,1550000.0,2.6083942601058396,5.917875956508167,0.5604540084410026,3.8038764849438467,29.57866858160953,63.840589672150074,11.439305055558671,40.90504558100752
4,Aceh,2014,68.81,8.36,16.98,26065.08,23129.04,127897.07,113490.36,9.02,1750000.0,1.5520711536928244,5.411587281845964,-0.4285666930278542,3.3556275211815922,29.57866858160953,63.840589672150074,11.439305055558671,40.90504558100752
5,Aceh,2015,69.45,3.35,17.11,25808.45,22524.31,129092.66,112665.53,9.93,1900000.0,-0.7267841955915899,0.9348064033054104,-2.614591872382077,-0.9845739970872902,29.57866858160953,63.840589672150074,11.439305055558671,40.90504558100752
6,Aceh,2016,70.0,3.02,16.43,26851.88,22835.29,136843.82,116374.3,7.57,2118500.0,3.2918409028919626,6.00433827918645,1.380641626757928,4.04297817187782,29.57866858160953,63.840589672150074,11.439305055558671,40.90504558100752
7,Aceh,2017,70.6,3.61,15.92,28096.71,23362.9,145806.92,121240.98,6.57,2500000.0,4.181919891247454,6.549875617327849,2.310502735021114,4.635913760973143,29.57866858160953,63.840589672150074,11.439305055558671,40.90504558100752
8,Aceh,2018,71.19,3.13,15.68,29521.25,24013.79,155910.98,126824.37,6.34,2700000.0,4.605200320881608,6.9297534026505625,2.7859983135655186,5.070130986866439,29.57866858160953,63.840589672150074,11.439305055558671,40.90504558100752
9,Aceh,2019,71.9,2.72,15.32,30879.06,24842.3,164162.98,132069.62,6.17,2916810.0,4.135837615436211,5.292763857939953,3.450142605561224,4.599432612101451,29.57866858160953,63.840589672150074,11.439305055558671,40.90504558100752
