Provinsi,Tahun,IPM,Inflasi,Kemiskinan,Upah Minimum,PDRB_ADHB,PDRB_ADHK,PDRBK_ADHB,PDRBK_ADHK
DI Yogyakarta,2026,82.063,2.371,10.088,2343488.982,209176.786,130464.349,40494.916,28891.485
DI Yogyakarta,2027,82.285,2.309,9.935,2460499.053,217479.598,133504.586,41972.681,29477.343
DI Yogyakarta,2028,82.508,2.248,9.784,2583351.42,226111.973,136615.67,43504.373,30075.08
DI Yogyakarta,2029,82.731,2.19,9.636,2712337.788,235086.99,139799.253,45091.961,30684.938
DI Yogyakarta,2030,82.955,2.132,9.49,2847764.427,244418.251,143057.023,46737.485,31307.163
