Provinsi,2010 GRDP,2011 GRDP,2012 GRDP,2013 GRDP,2014 GRDP,2015 GRDP,2016 GRDP,2017 GRDP,2018 GRDP,2019 GRDP,2020 GRDP,2010 IPM,2011 IPM,2012 IPM,2013 IPM,2014 IPM,2015 IPM,2016 IPM,2017 IPM,2018 IPM,2019 IPM,2020 IPM,2010 Pengangguran,2011 Pengangguran,2012 Pengangguran,2013 Pengangguran,2014 Pengangguran,2015 Pengangguran,2016 Pengangguran,2017 Pengangguran,2018 Pengangguran,2019 Pengangguran,2020 Pengangguran,2010 Inflasi,2011 Inflasi,2012 Inflasi,2013 Inflasi,2014 Inflasi,2015 Inflasi,2016 Inflasi,2017 Inflasi,2018 Inflasi,2019 Inflasi,2020 Inflasi,2010 Kemiskinan,2011 Kemiskinan,2012 Kemiskinan,2013 Kemiskinan,2014 Kemiskinan,2015 Kemiskinan,2016 Kemiskinan,2017 Kemiskinan,2018 Kemiskinan,2019 Kemiskinan,2020 Kemiskinan,Investasi
Jawa Tengah,19209.31,20053.8,20950.62,21844.87,22819.16,23887.06,24959.49,26088.91,27285.25,28695.92,26483.68,"72,49","72,94",67.21,68.02,68.78,69.49,69.98,70.52,71.12,71.73,"71,87",6.21,7.07,5.61,6.01,5.68,4.99,4.63,4.57,4.47,4.44,6.48,,,,,,,,,,,,"16,56","15,76","15,34","14,44",13.58,13.32,13.19,12.23,11.19,10.8,11.41,
DI Yogyakarta,18652.97,19387.45,20183.88,21037.7,21867.9,22688.36,23565.68,24533.8,25776.31,27008.68,27754.47,"75,77","76,32",76.15,76.44,76.81,77.59,78.38,78.89,79.53,79.99,"79,97",5.69,4.39,3.9,3.24,3.33,4.07,2.72,3.02,3.37,3.18,4.57,,,,,,,,,,,,"16,83","16,08","16,05","15,03",14.55,13.16,13.10,12.36,11.81,11.7,12.28,
Jawa Timur,26371.1,27864.26,29508.4,31092.04,32703.39,34271.81,35970.78,37724.29,39579.95,41512.2,39686.19,"71,62","72,18",66.74,67.55,68.14,68.95,69.74,70.27,70.77,71.5,"71,71",4.25,5.38,4.11,4.3,4.19,4.47,4.21,4,3.91,3.82,5.84,,,,,,,,,,,,"15,26","14,23","13,40","12,73",12.28,12.28,11.85,11.2,10.85,10.37,11.09,
Banten,25397.65,26548.94,27716.47,28910.66,29846.64,30813.03,31781.56,32947.6,34183.75,35913.9,37165.16,"70,48","70,95",68.92,69.47,69.89,70.27,70.96,71.42,71.95,72.44,"72,45",13.68,13.74,9.94,9.54,9.07,9.55,8.92,9.28,8.47,8.11,10.64,,,,,,,,,,,,"7,16","6,32","5,85","5,89",5.51,5.75,5.36,5.59,5.25,5.09,5.92,
Bali,23992.63,25265.96,26689.58,28129.67,29668.9,31093.61,32689.09,34129.84,35896.35,37297.5,34216.52,"72,28","72,84",71.62,72.09,72.48,73.27,73.65,74.3,74.77,75.38,"75,50",3.06,2.95,2.1,1.83,1.9,1.99,1.89,1.48,1.4,1.57,5.63,,,,,,,,,,,,"4,88","4,20","4,18","4,49",4.76,5.25,4.15,4.14,3.91,3.79,3.78,
Nusa Tenggara Barat,15527.41,14705.77,14276.69,14809.84,15369.94,18475.14,19305.79,19091.26,18020.5,18219.11,17583.11,"65,20","66,23",62.98,63.76,64.31,65.19,65.81,66.58,67.3,68.14,"68,25",5.29,5.25,5.23,5.3,5.75,5.69,3.94,3.32,3.58,3.28,4.22,,,,,,,,,,,,"21,55","19,73","18,63","17,25",17.05,16.54,16.02,15.05,14.63,14.56,13.97,
Nusa Tenggara Timur,9316.79,9675.89,10030.98,10396.76,10742.32,11087.91,11468.79,11863.41,12273.85,12761.98,12960.95,"67,26","67,75",60.81,61.68,62.26,62.67,63.13,63.73,64.39,65.23,"65,19",3.34,3.11,3.04,3.25,3.26,3.83,3.25,3.27,2.85,3.14,4.28,,,,,,,,,,,,"23,03","21,23","20,88","20,24",19.60,22.58,22.01,21.38,21.03,21.09,20.9,
Kalimantan Barat,19510.07,20227.16,21062.22,21971.93,22712.65,23456.52,24308.85,25198.01,26110.57,27199.78,24953.61,"69,15","69,66",63.41,64.3,64.89,65.59,65.88,66.26,66.98,67.65,"67,66",4.62,4.6,3.54,3.99,4.04,5.15,4.23,4.36,4.18,4.35,5.81,,,,,,,,,,,,"9,02","8,60","8,17","8,74",8.07,8.44,8.00,7.86,7.37,7.49,7.17,
Kalimantan Tengah,25455.05,26588.9,27749.01,29106.4,30216.73,31619.18,32899.58,34370.63,35548.43,37870.47,37148.73,"74,64","75,06",66.66,67.41,67.77,68.53,69.13,69.79,70.42,70.91,"71,05",4.14,3.54,3.14,3,3.24,4.54,4.82,4.23,3.91,4.04,4.58,,,,,,,,,,,,"6,77","6,56","6,51","6,23",6.07,5.91,5.36,5.26,5.1,4.98,4.82,
Kalimantan Selatan,23418.47,24567.52,25547.77,26423.9,27220.27,27786.68,28540.05,29578.79,30614.85,31611.46,32212.3,"69,92","70,44",66.68,67.17,67.63,68.38,69.05,69.65,70.17,70.72,"70,91",5.25,6.29,5.19,3.66,3.8,4.92,5.45,4.77,4.35,4.18,4.74,,,,,,,,,,,,"5,21","5,29","5,06","4,76",4.81,4.72,4.52,4.7,4.65,4.55,4.38,
