Provinsi,Tahun,IPM,Inflasi,Kemiskinan,Upah Minimum,PDRB_ADHB,PDRB_ADHK,PDRBK_ADHB,PDRBK_ADHK,PDRB_ADHK_YoY,PDRB_ADHB_YoY,PDRBK_ADHK_YoY,PDRBK_ADHB_YoY,PDRB_ADHK_Pct,PDRB_ADHB_Pct,PDRBK_ADHK_Pct,PDRBK_ADHB_Pct
DI Yogyakarta,2026,82.063,2.371,10.088,2343488.982,209176.786,130464.349,40494.916,28891.485,2.330320146,3.969279847,2.027787777,3.649260569,101.7106163,223.4077259,54.88946264,117.0963444
DI Yogyakarta,2027,82.285,2.309,9.935,2460499.053,217479.598,133504.586,41972.681,29477.343,2.330320141,3.969279842,2.027787772,3.649260564,106.4111194,236.2446836,58.03029223,125.0187557
DI Yogyakarta,2028,82.508,2.248,9.784,2583351.42,226111.973,136615.67,43504.373,30075.08,2.330319949,3.969280374,2.027784526,3.649259384,111.2211589,249.5911778,61.23480604,133.2302738
DI Yogyakarta,2029,82.731,2.19,9.636,2712337.788,235086.99,139799.253,45091.961,30684.938,2.330320526,3.969279858,2.02778513,3.649260731,116.1432889,263.46743,64.50430146,141.7414546
DI Yogyakarta,2030,82.955,2.132,9.49,2847764.427,244418.251,143057.023,46737.485,31307.163,2.330320034,3.969280052,2.027786401,3.649262448,121.1801193,277.8944702,67.84009731,150.5632347
